2023-11-10 09:16:59.224 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:16:59.225 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/css/**']
2023-11-10 09:16:59.225 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:16:59.225 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/js/**']
2023-11-10 09:16:59.225 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:16:59.225 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/images/**']
2023-11-10 09:16:59.229 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14d2c9e6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@64bd234d, org.springframework.security.web.context.SecurityContextPersistenceFilter@65ad03fe, org.springframework.security.web.header.HeaderWriterFilter@5f708689, org.springframework.security.web.csrf.CsrfFilter@acd9117, org.springframework.security.web.authentication.logout.LogoutFilter@46f494cc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@369e2807, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6057d95a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b484f17, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@883070c, org.springframework.security.web.session.SessionManagementFilter@30e7fa1, org.springframework.security.web.access.ExceptionTranslationFilter@163269b8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@54871aac]
2023-11-10 09:16:59.254 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-10 09:16:59.259 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-10 09:16:59.259 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-10 09:16:59.261 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 0.19 seconds (JVM running for 50.071)
